,date,country,confirmed,new_confirmed,growth,growth_avg,growth_avg_7,predict,new_predict,p_growth,p_gr_avg,p_gr_avg_7
0,2020-02-25,Switzerland,1.0,1.0,0.0,1.0,1.0,80,,1.0,,
1,2020-02-26,Switzerland,4.0,3.0,4.0,1.6780000000000002,1.324,80,0.0,1.0,,
2,2020-02-27,Switzerland,8.0,4.0,2.0,2.0,1.464,80,0.0,1.0,1.0,
3,2020-02-28,Switzerland,13.0,5.0,1.625,2.542,1.537,81,1.0,1.012,1.004,
4,2020-02-29,Switzerland,18.0,5.0,1.385,1.67,1.5830000000000002,81,0.0,1.0,1.004,
5,2020-03-01,Switzerland,27.0,9.0,1.5,1.5030000000000001,1.649,82,1.0,1.012,1.008,
6,2020-03-02,Switzerland,42.0,15.0,1.556,1.48,1.724,84,2.0,1.024,1.012,1.007
7,2020-03-03,Switzerland,56.0,14.0,1.3330000000000002,1.463,1.9140000000000001,86,2.0,1.024,1.02,1.01
8,2020-03-04,Switzerland,90.0,34.0,1.607,1.499,1.5719999999999998,91,5.0,1.058,1.035,1.019
9,2020-03-05,Switzerland,114.0,24.0,1.2670000000000001,1.402,1.4680000000000002,100,9.0,1.099,1.06,1.033
10,2020-03-06,Switzerland,214.0,100.0,1.8769999999999998,1.584,1.504,114,14.0,1.14,1.099,1.051
11,2020-03-07,Switzerland,268.0,54.0,1.252,1.465,1.485,136,22.0,1.193,1.144,1.079
12,2020-03-08,Switzerland,337.0,69.0,1.2570000000000001,1.462,1.45,171,35.0,1.257,1.197,1.114
13,2020-03-09,Switzerland,414.0,77.0,1.228,1.246,1.403,224,53.0,1.31,1.253,1.154
14,2020-03-10,Switzerland,491.0,77.0,1.186,1.224,1.382,301,77.0,1.344,1.304,1.2
15,2020-03-11,Switzerland,652.0,161.0,1.328,1.247,1.3419999999999999,412,111.0,1.369,1.341,1.245
16,2020-03-12,Switzerland,895.0,243.0,1.3730000000000002,1.296,1.357,567,155.0,1.376,1.363,1.284
17,2020-03-13,Switzerland,1139.0,244.0,1.273,1.325,1.271,775,208.0,1.367,1.371,1.317
18,2020-03-14,Switzerland,1359.0,220.0,1.193,1.28,1.263,1049,274.0,1.354,1.366,1.34
19,2020-03-15,Switzerland,2200.0,841.0,1.619,1.3619999999999999,1.314,1399,350.0,1.334,1.352,1.351
20,2020-03-16,Switzerland,2450.0,250.0,1.114,1.3090000000000002,1.298,1834,435.0,1.311,1.333,1.351
21,2020-03-17,Switzerland,2700.0,250.0,1.102,1.278,1.286,2360,526.0,1.287,1.311,1.343
22,2020-03-18,Switzerland,3028.0,328.0,1.121,1.112,1.256,2983,623.0,1.264,1.287,1.328
23,2020-03-19,Switzerland,4075.0,1047.0,1.3459999999999999,1.19,1.253,3701,718.0,1.241,1.264,1.308
24,2020-03-20,Switzerland,5294.0,1219.0,1.2990000000000002,1.255,1.256,4511,810.0,1.219,1.241,1.287
25,2020-03-21,Switzerland,6575.0,1281.0,1.242,1.296,1.263,5405,894.0,1.198,1.219,1.265
